SampleID,Sex,Trio (family),SMN1/2 genotype (public refs),FASTQ dir (Phase 3),ENA FASTQ TSV,NYGC 30x (PRJEB31736) TSV,Set
HG01774,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01774/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01774%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01774%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG02132,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG02132/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG02132%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG02132%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA19122,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19122/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA19122%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA19122%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG01941,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01941/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01941%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01941%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA19794,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19794/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA19794%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA19794%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG02514,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG02514/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG02514%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG02514%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG03663,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03663/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG03663%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG03663%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG03636,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03636/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG03636%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG03636%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG01701,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01701/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01701%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01701%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG01942,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01942/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01942%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01942%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG01935,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01935/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01935%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01935%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG01748,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01748/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01748%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01748%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG01971,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01971/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01971%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01971%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG00329,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00329/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00329%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG00329%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG03625,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03625/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG03625%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG03625%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA19123,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19123/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA19123%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA19123%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG03258,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03258/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG03258%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG03258%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG02891,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG02891/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG02891%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG02891%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG00255,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00255/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00255%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG00255%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA19437,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19437/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA19437%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA19437%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG01377,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01377/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01377%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01377%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG01755,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01755/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01755%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01755%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG03650,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03650/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG03650%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG03650%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA20775,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20775/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA20775%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA20775%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG01137,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01137/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01137%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01137%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA12548,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA12548/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA12548%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA12548%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA20755,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20755/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA20755%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA20755%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA12552,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA12552/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA12552%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA12552%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA20515,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20515/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA20515%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA20515%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
