SampleID,Sex,Trio (family),SMN1/2 genotype (public refs),FASTQ dir (Phase 3),Example R1/R2 pair (pattern),WGS 30× (NYGC CRAM)
HG01774,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01774/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG02132,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG02132/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19122,female,YRI trio Y061 (mother),na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19122/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG01941,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01941/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19794,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19794/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG02514,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG02514/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG03663,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03663/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG03636,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03636/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG01701,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01701/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG01942,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01942/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG01935,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01935/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG01748,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01748/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG01971,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01971/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG00329,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00329/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG03625,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03625/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19123,male,YRI trio Y061 (father),na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19123/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG03258,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03258/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG02891,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG02891/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG00255,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00255/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19437,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19437/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG01377,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01377/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG01755,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01755/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG03650,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03650/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA20775,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20775/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG01137,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01137/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA12548,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA12548/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA20755,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20755/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA12552,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA12552/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA20515,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20515/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19235,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19235/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG03027,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG03027/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG02769,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG02769/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19429,male,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19429/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG02836,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG02836/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19177,na,na,discordant e7/e8 copy numbers (gene conversion list),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19177/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA21527,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA21527/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19249,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19249/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA21526,na,na,discordant e7/e8 CN (SMN2 e8=4*),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA21526/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19790,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19790/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19327,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19327/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA21513,na,na,na (not found in public CN lists; infer from WGS or your curated table),http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA21513/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
NA19360,male,na,"SMN1×4, SMN2×0 (literature)",http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA19360/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG02697,na,na,"SMN1×4*, SMN2×2 (MLPA list)",http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG02697/sequence_read/,.../ERR*/ERR*_1.filt.fastq.gz + .../ERR*_2.filt.fastq.gz,Yes (PCR-free PE150) — 1000G 30× NYGC (PRJEB31736)
HG001,na,na,negative control (GIAB); no known SMA/SMN CN abnormality in public truth sets,na,na,na
HG002,na,na,negative control (GIAB); no known SMA/SMN CN abnormality in public truth sets,na,na,na
HG003,na,na,negative control (GIAB); no known SMA/SMN CN abnormality in public truth sets,na,na,na
HG004,na,na,negative control (GIAB); no known SMA/SMN CN abnormality in public truth sets,na,na,na
HG005,na,na,negative control (GIAB); no known SMA/SMN CN abnormality in public truth sets,na,na,na
HG006,na,na,negative control (GIAB); no known SMA/SMN CN abnormality in public truth sets,na,na,na
HG007,na,na,negative control (GIAB); no known SMA/SMN CN abnormality in public truth sets,na,na,na
